Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
179	wheeler239	1546741649.925	    60.255	0	0	0	0	./wrapper1.sh \[-4.4,0.0,179\] > conn.log
178	wheeler236	1546741649.591	    60.723	0	0	0	0	./wrapper1.sh \[-4.4,-0.2,178\] > conn.log
181	wheeler238	1546741655.611	    60.760	0	0	0	0	./wrapper1.sh \[-4.4,0.4,181\] > conn.log
182	wheeler232	1546741660.943	    59.750	0	0	0	0	./wrapper1.sh \[-4.4,0.6,182\] > conn.log
180	wheeler230	1546741651.528	    74.461	0	0	0	0	./wrapper1.sh \[-4.4,0.2,180\] > conn.log
185	wheeler228	1546741699.241	    59.739	0	0	0	0	./wrapper1.sh \[-4.4,1.2,185\] > conn.log
184	wheeler246	1546741699.003	    60.486	0	0	0	0	./wrapper1.sh \[-4.4,1.0,184\] > conn.log
183	wheeler231	1546741693.822	    67.315	0	0	0	0	./wrapper1.sh \[-4.4,0.8,183\] > conn.log
186	wheeler233	1546741700.332	    61.118	0	0	0	0	./wrapper1.sh \[-4.4,1.4,186\] > conn.log
189	wheeler237	1546741703.135	    59.624	0	0	0	0	./wrapper1.sh \[-4.4,2.0,189\] > conn.log
188	wheeler240	1546741702.615	    61.901	0	0	0	0	./wrapper1.sh \[-4.4,1.8,188\] > conn.log
187	wheeler235	1546741702.549	    68.447	0	0	0	0	./wrapper1.sh \[-4.4,1.6,187\] > conn.log
190	wheeler239	1546741710.192	    61.151	0	0	0	0	./wrapper1.sh \[-4.4,2.2,190\] > conn.log
191	wheeler236	1546741710.327	    61.423	0	0	0	0	./wrapper1.sh \[-4.4,2.4,191\] > conn.log
192	wheeler238	1546741716.384	    61.299	0	0	0	0	./wrapper1.sh \[-4.4,2.6,192\] > conn.log
193	wheeler232	1546741720.706	    60.791	0	0	0	0	./wrapper1.sh \[-4.4,2.8,193\] > conn.log
194	wheeler230	1546741726.006	    61.006	0	0	0	0	./wrapper1.sh \[-4.4,3.0,194\] > conn.log
195	wheeler228	1546741758.997	    59.433	0	0	0	0	./wrapper1.sh \[-4.4,3.2,195\] > conn.log
198	wheeler233	1546741761.463	    60.417	0	0	0	0	./wrapper1.sh \[-4.4,3.8,198\] > conn.log
199	wheeler237	1546741762.771	    61.600	0	0	0	0	./wrapper1.sh \[-4.4,4.0,199\] > conn.log
197	wheeler231	1546741761.150	    63.694	0	0	0	0	./wrapper1.sh \[-4.4,3.6,197\] > conn.log
196	wheeler246	1546741759.502	   152.878	0	0	0	0	./wrapper1.sh \[-4.4,3.4,196\] > conn.log
207	wheeler228	1546741818.445	    97.163	0	0	0	0	./wrapper1.sh \[-4.2,-4.6,207\] > conn.log
209	wheeler237	1546741824.384	    91.958	0	0	0	0	./wrapper1.sh \[-4.2,-4.2,209\] > conn.log
210	wheeler231	1546741824.857	    91.510	0	0	0	0	./wrapper1.sh \[-4.2,-4.0,210\] > conn.log
208	wheeler233	1546741821.894	    94.819	0	0	0	0	./wrapper1.sh \[-4.2,-4.4,208\] > conn.log
202	wheeler239	1546741771.354	   146.434	0	0	0	0	./wrapper1.sh \[-4.4,4.6,202\] > conn.log
200	wheeler240	1546741764.528	   153.813	0	0	0	0	./wrapper1.sh \[-4.4,4.2,200\] > conn.log
206	wheeler230	1546741787.024	   131.360	0	0	0	0	./wrapper1.sh \[-4.2,-4.8,206\] > conn.log
205	wheeler232	1546741781.509	   136.927	0	0	0	0	./wrapper1.sh \[-4.2,-5.0,205\] > conn.log
204	wheeler238	1546741777.695	   141.368	0	0	0	0	./wrapper1.sh \[-4.4,5.0,204\] > conn.log
203	wheeler236	1546741771.759	   147.445	0	0	0	0	./wrapper1.sh \[-4.4,4.8,203\] > conn.log
201	wheeler235	1546741771.008	   148.552	0	0	0	0	./wrapper1.sh \[-4.4,4.4,201\] > conn.log
